Product_Price_Guarantee,Bonus_Offer_1,Bonus_Offer_2,Bonus_Offer_3,Benefit_Advantage_4,Bonus_Offer_4,Benefit_Advantage_1,Benefit_Advantage_2,Benefit_Advantage_3,,Generic_msgs_1,CTA
MURANG PUHUNAN!,AUTOMATED ONLINE PAGKAKAKITAAN,Libreng Chat Assistant (CHATBOT),PC Groups (auto)Poster NO INSTALL,TEAM EFFORT,KUMITA SA PAGPADAMI NG LIKES NG FB PAGE!,EVERY DAY CASHOUT TAYO,w/ DTI permit,"UNLIMITED 12, 24 PESOS",e-wallet (NO KYC!),Klarong sa ₱100 mo... Potential is ₱11 Million,PM HOW
ABOT-KAYA ang puhunan!,AUTOMATED ONLINE BUSINESS,ChatBot na bahala sumagot sa mga PM,FREE (auto)Posting tool for PC,with LEVERAGE,KUMITA SA PAGPADAMI NG FOLLOWERS NG FB PAGE!,EVERY DAY PAY OUT,SEC registered,"UNLI 12, 24 PESOS","eWallet kagaya ni Gcash, Coinsph, paypal, maya etc.",Panay ang Facebook pero walang kinikita?,PM FOR DETAILS
MALIIT ANG PUHUNAN!,AUTOMATED BUSINESS,AUTOMATIC FOLLOW-UP SA MGA NAG-PM,Copy&Paste Ads lang (CP),Kikita ka sa EFFORT ng ka-team mo,KUMITA SA PAGPAPA-LIKE NG FB PAGE!,via GCash/Maya/Banks,LEGIT w/ SEC & DTI,"UNLI 12, 24 PHP",e-WALLET na may KITAAN,SHARING IS CARING,ARAT na PM me
San aabot ang 100/200PHP mo?,AUTOMATED TEAM SYSTEM,May CHATBOT na sasagot sa mga nag-HOW sa PM,Copy & Paste Ads lang (CP),Babayaran ka sa EFFORT mo pati ng team mo,KUMITA SA PAGPAPA-FOLLOW NG FB PAGE!,thru GCash/Maya/Banks ang payout,LEGIT & TRUSTED,"UNLIMITED 12, 24 PHP",SINCE 2019,"How ka ngayon, How ka ulit bukas, how ka ulit next month! Kailan ka matatapos ng How? Simulan mo na ngayon para isa ka na rin magrerequest ng pay out",MESSAGE ME DIRECTLY
ONE-TIME PAYMENT,AUTOMATED PAGKAKAKITAAN,AUTO-FOLLOW UP SA MGA NAG-PM,,BAYANIHAN SYSTEM,MAGPAPADAMI KA LANG NG LIKES NG FB PAGE MO!,ARAW ARAW CASHOUT,"SEC registered, w/ DTI permit",MALAKI ANG KITAAN,e-wallet (NO NEED VALID ID!),Sinong Gustong magkalaman lagi ung Gcash nyo?,PM ME DIRECTLY
San aabot ang 100PHP mo?,Done For YOU BUSINESS,REGULAR FOLLOW UP sa mga PROSPECTS gamit ang CHATBOT,,,PA-LIKE KA LANG NG FB PAGE,DAILY PWEDE MAG-CASHOUT,LEGIT100%,UNLIMITED KITAAN,eWallet (NO NEED VALID ID!),Hanap mo Legit? Hindi Scam? Nag Payout?,DM IMMEDIATELY SO I CAN SEND THE DETAILS
San aabot ang 200PHP mo?,AUTOMATED MARKETING TOOLS,WALANG TIME MAGREPLY SA PM? CHATBOT NA BAHALA SA'YO,,,MAGPAPADAMI KA LANG NG FOLLOWERS NG FB PAGE MO!,DAILY PWEDE MAG-WITHDRAW,w/ DTI permit &  SEC registered,UNLI KITAAN,eWallet (NO KYC!),Lahat ng eWallet Users.. Pwede kang makagawa ng Pera sa ₱100 mo,JUST MESSAGE ME
Gusto mo din maging thousand-million yan 100 mo?,,,,,PA-FOLLOW KA LANG NG FB PAGE,ANYTIME Cashout po tayo,,UNLI P12.00,,Problema mo ba PERA? basta may 100 ka lang turo ko sayo paano maging 100k yan,Message me now turo ko sayo
100 mo abot ng thousand up to million,,,,,,,,UNLI 12 PHP,,,Grab Your Free Membership Now
200 PHP mo kayang -kaya palaguin,,,,,,,,UNLI 12 PESOS,,Hanap mo sure na business at earnings?,Interested? Message me now!
May 100 ka? Gawin nating thousands up to millions!,,,,,,,,KUMITA UP TO 11M,,LOOKING FOR QUALIFICATIONS,
100 PESOS mo kayang-kaya palaguin,,,,,,,,EARN UP TO 11M,,Calling EMPLOYEES,
200 PESOS mo kayang-kaya palaguin,,,,,,,,Earn Passive Income,,Calling STUDENTS,
100 PHP mo kayang -kaya palaguin,,,,,,,,11M POTENTIAL INCOME,,Pwede kahit phone user at naka data connection.,
Very affordable business P100.,,,,,,,,POTENTIAL INCOME 11M,,Calling OFWs,
100PHP LANG PUHUNAN,,,,,,,,,,Calling UNEMPLOYED,
,,,,,,,,,,Calling PROFESSIONALS,
,,,,,,,,,,Calling SIDELINERS,
,,,,,,,,,,NO SKILLS required just CP or PC w/ DATA/WIFI,
,,,,,,,,,,Kayang kaya kahit studyante o housewife,
,,,,,,,,,,CALLING ALL PART-TIME ONLINERS   TAMBAY OFW STUDENTS EMPLOYED UNEMPLOYED SIDELINER PROFESSIONAL,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
